City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,kone,-21.0595,164.8658,24.5,52,59,5.0,NC,1698548315
126,gore,-46.1028,168.9436,16.85,43,47,1.31,NZ,1698548315
127,pisco,-13.7,-76.2167,19.03,88,0,4.12,PE,1698548315
128,turpan,42.9333,89.1667,17.07,34,88,1.13,CN,1698548315
129,shahrak,34.1074,64.3052,9.03,54,100,0.38,AF,1698548281
130,alice springs,-23.7,133.8833,31.75,7,43,4.12,AU,1698548211
131,cabo san lucas,22.8909,-109.9124,25.28,70,2,5.15,MX,1698547975
132,monrovia,6.3005,-10.7969,23.87,85,19,2.82,LR,1698548315
133,carloforte,39.145,8.3058,19.55,75,4,3.95,IT,1698548315
134,kosong,38.3788,128.4676,17.27,61,0,2.6,KR,1698548315
135,khandyga,62.6667,135.6,-4.95,81,95,1.83,RU,1698548315
136,auki,-8.7676,160.7034,28.52,76,86,1.12,SB,1698548315
137,tucupita,9.0622,-62.051,24.25,93,98,1.45,VE,1698548315
138,kodiak,57.79,-152.4072,7.73,93,100,9.26,US,1698548315
139,kolonia,50.9333,6.95,14.77,79,75,7.72,DE,1698548285
140,odorheiu secuiesc,46.3,25.3,7.45,87,91,1.37,RO,1698548315
141,mtsensk,53.2766,36.5733,2.65,96,100,6.24,RU,1698548315
142,wailua homesteads,22.0669,-159.378,26.44,76,20,6.17,US,1698548316
143,vennesla,58.2694,7.9741,1.27,83,100,7.72,NO,1698548316
144,minas de marcona,-15.2119,-75.1103,14.61,89,98,4.08,PE,1698548316
145,aberystwyth,52.4155,-4.0829,11.61,87,99,4.61,GB,1698548316
146,kyshtovka,56.555,76.6271,-6.48,94,52,1.79,RU,1698548316
147,ulsteinvik,62.3432,5.8487,2.09,75,0,1.79,NO,1698548316
148,gibong,11.8634,122.0394,29.69,67,27,4.27,PH,1698548316
149,ormara,25.2088,64.6357,26.88,67,0,3.47,PK,1698548316
150,sabang,5.8933,95.3214,27.69,75,100,4.15,ID,1698548316
151,priozersk,61.0393,30.1291,-0.56,86,80,2.98,RU,1698548316
152,sinabang,2.4803,96.3801,27.0,81,100,1.51,ID,1698548316
153,juneau,58.3019,-134.4197,3.0,95,100,2.06,US,1698548316
154,yichang,30.7144,111.2847,23.84,54,79,1.09,CN,1698548231
155,punta arenas,-53.15,-70.9167,4.06,65,100,3.6,CL,1698548316
156,maumere,-8.6199,122.2111,29.52,63,28,0.99,ID,1698548316
157,port lincoln,-34.7333,135.8667,16.92,50,80,7.79,AU,1698548316
158,bardai,11.65,7.2333,22.17,26,0,2.42,NG,1698548317
159,marshall,34.3834,-86.3333,23.55,70,0,0.0,US,1698548317
160,loudi,27.7344,111.9944,23.55,58,12,0.4,CN,1698548317
161,bulungu,-4.55,18.6,22.45,94,96,0.47,CD,1698548317
162,murzuq,25.9155,13.9184,21.94,24,0,2.43,LY,1698548317
163,buta,2.7858,24.73,19.55,93,46,0.16,CD,1698548317
164,mazsalaca,57.8633,25.0547,-0.5,92,100,0.41,LV,1698548317
165,ouarzazat,30.9189,-6.8934,17.16,48,0,0.51,MA,1698548121
166,yerofey pavlovich,53.9667,121.9667,-0.23,90,100,0.31,RU,1698548317
167,egilsstadir,65.2653,-14.3948,0.95,93,75,1.54,IS,1698548317
168,port elizabeth,-33.918,25.5701,12.16,78,20,3.09,ZA,1698548317
169,nar'yan-mar,67.6713,53.087,-12.16,90,100,3.58,RU,1698548317
170,fale old settlement,-9.3852,-171.2468,29.22,70,58,4.62,TK,1698548317
171,pyu,18.4833,96.4333,27.8,79,71,1.22,MM,1698548317
172,puerto madero,14.7208,-92.4215,26.72,80,100,1.61,MX,1698548254
173,miguel ahumada,30.6167,-106.5167,21.43,20,0,2.65,MX,1698548317
174,georgetown,5.4112,100.3354,30.96,80,20,2.57,MY,1698548200
175,chino,34.0122,-117.6889,18.54,79,0,2.57,US,1698548318
176,tabou,4.423,-7.3528,25.04,89,9,1.86,CI,1698548318
177,sulakyurt,40.1573,33.716,13.54,61,10,0.36,TR,1698548318
178,kerikeri,-35.2268,173.9474,12.73,93,100,2.68,NZ,1698548318
179,fort bragg,35.139,-79.006,21.32,84,0,1.54,US,1698548094
180,gorontalo,0.5412,123.0595,32.85,42,70,3.37,ID,1698548021
181,qaqortoq,60.7167,-46.0333,0.15,81,100,3.15,GL,1698548318
182,luau,-10.7073,22.2247,17.8,90,60,1.34,AO,1698548318
183,san pedro pochutla,15.7333,-96.4667,24.61,85,100,1.79,MX,1698548318
184,soavinandriana,-19.1667,46.7333,17.33,74,20,1.37,MG,1698548318
185,prainha,-1.8,-53.48,27.6,56,30,2.06,BR,1698548318
186,haiku-pauwela,20.9219,-156.3051,28.01,69,20,8.75,US,1698548318
187,bonthe,7.5264,-12.505,25.55,84,13,0.19,SL,1698548318
188,new norfolk,-42.7826,147.0587,19.28,27,100,2.07,AU,1698548112
189,sretensk,52.2453,117.7093,2.55,33,63,5.87,RU,1698548318
190,siwa oasis,29.2041,25.5195,21.7,61,4,2.95,EG,1698548318
191,chisec,15.8167,-90.2833,21.78,98,28,1.36,GT,1698548318
192,punta gorda,26.9298,-82.0454,24.02,80,0,4.47,US,1698548319
193,howrah,22.5892,88.3103,25.0,78,10,1.54,IN,1698548141
194,nyurba,63.2842,118.3319,-6.83,88,15,3.7,RU,1698548319
195,queenstown,-31.8976,26.8753,4.71,80,81,4.08,ZA,1698548319
196,palikir - national government center,6.9248,158.1611,30.41,70,100,1.54,FM,1698548089
197,arias,-33.6441,-62.4027,20.05,67,31,4.15,AR,1698548319
198,corner brook,48.9667,-57.9484,15.09,94,100,7.41,CA,1698548254
199,anadyr,64.75,177.4833,3.28,100,75,3.0,RU,1698548087
200,tazovsky,67.4667,78.7,-14.75,91,21,3.42,RU,1698548106
201,longboat key,27.4125,-82.659,25.0,56,0,3.6,US,1698548319
202,leava,-14.3,-178.1667,27.3,81,55,5.72,WF,1698548319
203,la passe,45.5549,-0.8967,14.43,84,100,7.85,FR,1698548319
204,atar,20.5169,-13.0499,26.42,21,4,2.35,MR,1698548319
205,kigoma,-4.8769,29.6267,23.76,76,46,1.54,TZ,1698548319
206,sirjan,29.452,55.6814,14.96,61,24,2.6,IR,1698548319
207,tura,25.5198,90.2201,24.89,67,4,0.56,IN,1698548144
208,neiafu,-18.65,-173.9833,28.38,61,40,5.66,TO,1698548319
209,luderitz,-26.6481,15.1594,16.81,48,0,6.66,NA,1698548150
210,tual,-5.6667,132.75,27.5,81,49,5.39,ID,1698548320
211,margaret river,-33.95,115.0667,16.87,70,97,6.24,AU,1698548205
212,igarka,67.4667,86.5833,-15.42,95,88,2.58,RU,1698548193
213,rouyn-noranda,48.2398,-79.0288,-0.95,64,100,2.06,CA,1698548235
214,xining,36.6167,101.7667,9.3,37,6,0.96,CN,1698548320
215,lock haven,41.137,-77.4469,16.31,78,100,1.36,US,1698548320
216,sitka,57.0531,-135.33,8.94,61,100,1.54,US,1698548140
217,hamilton,39.1834,-84.5333,12.55,95,100,3.09,US,1698547990
218,lazaro cardenas,17.9583,-102.2,26.3,85,100,2.0,MX,1698548320
219,ambon,-3.6954,128.1814,31.08,70,40,3.09,ID,1698548320
220,dishman,47.6601,-117.276,-0.55,72,0,0.0,US,1698548320
221,tralee,52.2704,-9.7026,6.39,94,92,1.99,IE,1698548320
222,zhangye,38.9342,100.4517,14.58,20,88,1.64,CN,1698548320
223,mossel bay,-34.1831,22.146,10.96,55,94,8.54,ZA,1698548320
224,pemba,-12.974,40.5178,25.39,94,40,2.24,MZ,1698548320
225,puerto baquerizo moreno,-0.9,-89.6,23.01,79,96,5.27,EC,1698548320
226,zhob,31.3411,69.4481,18.58,37,0,1.37,PK,1698548320
227,tegal,-6.8694,109.1402,31.72,50,26,1.27,ID,1698548320
228,midvagur,62.0511,-7.1939,7.46,76,75,5.14,FO,1698548321
229,praia da vitoria,38.7333,-27.0667,17.14,63,75,8.52,PT,1698548321
230,argo,37.6333,22.7333,18.21,73,100,1.79,GR,1698548321
231,port hedland,-20.3167,118.5667,33.03,25,57,5.14,AU,1698548321
232,ilulissat,69.2167,-51.1,-10.3,87,97,3.19,GL,1698548321
233,yaren,-0.5472,166.916,28.54,69,37,2.42,NR,1698548321
234,rio grande,-32.035,-52.0986,19.41,94,86,2.41,BR,1698548321
235,morondava,-20.2833,44.2833,23.5,81,0,1.29,MG,1698548321
236,chos malal,-37.3781,-70.2709,7.75,77,91,8.2,AR,1698548321
237,ouargaye,11.5033,0.0572,26.13,38,0,2.2,BF,1698548321
238,aasiaat,68.7098,-52.8699,-10.96,91,99,2.15,GL,1698548158
239,acapulco de juarez,16.8634,-99.8901,26.73,86,100,2.69,MX,1698548298
240,bucerias,20.75,-105.3333,25.18,87,98,0.91,MX,1698548268
241,yarmouth,41.7057,-70.2286,20.06,67,0,6.26,US,1698548321
242,aldinga beach,-35.2793,138.4604,23.44,51,76,3.98,AU,1698548321
243,aykhal,66.0,111.5,-17.55,99,99,4.8,RU,1698548321
244,seosan,36.7817,126.4522,17.69,60,0,1.92,KR,1698548321
245,pesaro,43.9036,12.8903,17.93,74,0,4.12,IT,1698548322
246,weno,7.4515,151.8468,26.13,82,100,0.82,FM,1698548322
247,kattivakkam,13.2167,80.3167,27.82,85,98,4.04,IN,1698548322
248,victoria point,-27.5833,153.3,24.54,52,67,0.45,AU,1698548322
249,carnarvon,-24.8667,113.6333,23.42,46,0,9.77,AU,1698548158
250,tubarjal,30.4999,38.216,21.01,71,100,4.07,SA,1698548322
251,vadso,70.0744,29.7487,-2.91,86,75,2.57,NO,1698548322
252,itacare,-14.2775,-38.9967,25.04,75,82,4.51,BR,1698548322
253,cabinda,-5.55,12.2,27.08,89,100,3.6,AO,1698548322
254,thunder bay,48.4001,-89.3168,-0.01,64,100,4.12,CA,1698548064
255,bouarfa,32.53,-1.95,18.3,37,100,0.97,MA,1698548322
256,nema,57.5067,50.5011,-0.92,93,100,5.22,RU,1698548322
257,touros,-5.1989,-35.4608,26.64,66,91,7.17,BR,1698548081
